RatingID,Symbol,AgencyID,Date,Rating
108,MRO,4,6/15/2012,BBB
109,MRO,1,12/10/2014,A
110,MRO,1,11/13/2015,BB
111,CRC,3,11/12/2015,BB
112,CRC,3,8/24/2016,D
113,CRC,4,9/4/2014,BB
114,GATX,1,10/29/2014,BB
115,GATX,1,5/14/2014,BB
116,GATX,1,10/28/2015,BB
117,GATX,1,4/16/2013,BB
118,GATX,3,10/20/2016,BBB
119,EPD,1,11/26/2013,A
120,EPD,1,11/14/2014,A
121,EPD,1,7/27/2015,A
122,EPD,1,3/22/2013,BBB
123,RBA,4,12/2/2016,BB
124,CBT,4,7/6/2012,BBB
125,CBT,3,6/21/2012,BBB
126,CBT,1,5/13/2015,BBB
127,CBT,1,12/2/2015,BBB
128,CBT,1,2/24/2014,BBB
129,CBT,4,9/6/2016,BBB
130,PSX,4,11/12/2014,A
131,PSX,3,10/31/2016,BBB
132,PSX,1,8/31/2015,A
133,PSX,3,5/14/2014,BBB
134,PSX,3,3/29/2013,BBB
135,EFX,4,6/15/2012,BBB
136,EFX,1,8/9/2013,A
137,EFX,1,10/27/2015,A
138,EFX,1,7/28/2014,A
139,EFX,4,12/10/2012,BBB
140,XOM,1,9/24/2013,AA
141,XOM,1,11/26/2014,AA
142,XOM,3,4/26/2016,AA
143,QCOM,4,5/13/2015,A
144,QCOM,3,11/14/2016,A
145,CSX,4,9/9/2014,BBB
146,CSX,1,10/14/2015,A
147,CSX,4,10/17/2012,BBB
148,CSX,4,6/15/2012,BBB
149,CSX,1,7/17/2013,A
150,CSX,4,10/14/2016,BBB
151,CSX,3,4/28/2011,BBB
152,HAL,1,8/26/2013,AA
153,HAL,1,1/16/2015,A
154,HAL,4,11/5/2015,A
155,HAL,4,6/15/2012,A
156,LB,1,1/16/2015,BB
157,LB,1,7/1/2013,BBB
158,LB,1,12/10/2015,BBB
159,UFS,1,12/1/2015,BBB
160,UFS,1,5/12/2014,BB
161,UFS,4,6/15/2012,BBB
162,UFS,1,3/19/2015,BBB
163,UFS,4,8/20/2012,BBB
164,HES,1,5/7/2015,BBB
165,HES,1,9/11/2013,A
166,HES,1,8/14/2015,BB
167,HES,4,9/19/2016,BB
168,CHDN,4,12/2/2015,B
169,CHDN,4,12/9/2013,B
170,UNH,4,12/3/2014,A
171,UNH,4,6/15/2012,A
172,UNH,4,10/17/2012,A
173,UNH,4,7/20/2015,A
174,MMC,1,11/27/2013,A
175,MMC,1,10/30/2015,A
176,MMC,1,6/4/2015,A
177,MMC,1,3/4/2013,A
178,TOT,2,6/15/2012,AA
179,TOT,5,8/16/2005,AA
180,BAX,4,6/15/2012,A
181,BAX,1,2/10/2015,A
182,BAX,1,8/5/2015,BBB
183,BAX,1,8/20/2013,A
184,BAX,4,8/10/2016,BBB
185,NAV,2,8/6/2012,CC
186,NAV,1,12/16/2013,CCC
187,NAV,2,6/15/2012,BB
188,NAV,1,9/17/2015,B
189,NAV,1,7/9/2014,B
190,SEE,3,12/10/2013,BB
191,SEE,3,8/12/2011,BB
192,SEE,4,6/8/2015,B
193,SEE,4,6/8/2016,BBB
194,SEE,3,6/1/2011,BB
195,PRGO,4,11/5/2013,BBB
196,PRGO,4,5/9/2013,BBB
197,PRGO,3,4/9/2015,BBB
198,AEE,1,6/3/2015,A
199,AEE,1,11/30/2015,A
200,AEE,1,6/13/2014,A
201,AEE,4,6/15/2012,BBB
202,COP,1,6/3/2014,AA
203,COP,1,11/9/2015,BBB
204,COP,1,11/17/2014,AA
205,COP,4,6/15/2012,A
206,COP,1,5/1/2013,A
207,DNR,1,8/23/2013,BB
208,DNR,3,2/9/2016,BB
209,DNR,1,8/27/2014,BB
210,DNR,4,6/15/2012,B
211,DNR,4,1/22/2013,B
212,ES,1,11/10/2015,A
213,XEL,1,6/4/2014,A
214,XEL,1,9/24/2015,A
215,XEL,1,1/20/2015,A
216,XEL,4,6/15/2012,BBB
